optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 7, 5, 2, 4, 6, 9, 10, 8, 3, 1}",3.238901,"{1, 7, 5, 2, 4, 6, 9, 10, 8, 3, 1}",3.238901,0.000000,0.032138
"{1, 2, 3, 8, 9, 10, 7, 6, 5, 4, 1}",2.729532,"{1, 2, 3, 8, 9, 10, 7, 6, 5, 4, 1}",2.729532,0.000000,0.032160
"{1, 8, 4, 3, 7, 2, 9, 5, 10, 6, 1}",2.722896,"{1, 6, 10, 5, 9, 2, 7, 3, 4, 8, 1}",2.722896,0.000000,0.032095
"{1, 3, 9, 8, 4, 7, 2, 10, 6, 5, 1}",3.405094,"{1, 5, 6, 10, 2, 7, 4, 8, 9, 3, 1}",3.405094,0.000000,0.032039
"{1, 3, 10, 7, 4, 2, 9, 6, 5, 8, 1}",3.169898,"{1, 8, 5, 6, 9, 2, 4, 7, 10, 3, 1}",3.169898,0.000000,0.032079
"{1, 5, 7, 6, 8, 9, 10, 2, 4, 3, 1}",2.845818,"{1, 5, 7, 6, 8, 9, 10, 2, 4, 3, 1}",2.845818,0.000000,0.031810
"{1, 2, 7, 8, 4, 9, 5, 3, 6, 10, 1}",2.491513,"{1, 10, 6, 3, 5, 9, 4, 8, 7, 2, 1}",2.491513,0.000000,0.031896
"{1, 5, 9, 3, 4, 2, 8, 10, 7, 6, 1}",2.791222,"{1, 5, 9, 3, 4, 2, 8, 10, 7, 6, 1}",2.791222,0.000000,0.031967
"{1, 5, 6, 4, 7, 9, 10, 2, 8, 3, 1}",2.609161,"{1, 5, 6, 4, 7, 9, 10, 2, 8, 3, 1}",2.609161,0.000000,0.031870
"{1, 9, 2, 5, 3, 7, 10, 6, 8, 4, 1}",2.839123,"{1, 9, 2, 5, 7, 3, 10, 6, 8, 4, 1}",2.838346,-0.000274,0.031632
"{1, 4, 3, 2, 8, 10, 5, 6, 9, 7, 1}",3.141250,"{1, 7, 9, 6, 5, 10, 8, 2, 3, 4, 1}",3.141249,0.000000,0.032133
"{1, 5, 4, 6, 8, 2, 3, 7, 9, 10, 1}",4.166567,"{1, 10, 9, 7, 3, 2, 8, 6, 4, 5, 1}",4.166567,0.000000,0.031924
"{1, 4, 9, 6, 3, 8, 2, 7, 10, 5, 1}",3.315081,"{1, 5, 10, 7, 2, 8, 3, 6, 9, 4, 1}",3.315082,0.000000,0.031917
"{1, 5, 8, 9, 3, 4, 7, 10, 2, 6, 1}",2.885000,"{1, 6, 2, 10, 7, 4, 3, 9, 8, 5, 1}",2.885000,0.000000,0.031854
"{1, 3, 6, 2, 4, 10, 8, 7, 9, 5, 1}",2.563931,"{1, 5, 9, 7, 8, 10, 4, 2, 6, 3, 1}",2.563931,0.000000,0.032020
"{1, 9, 2, 8, 7, 3, 6, 5, 4, 10, 1}",2.932857,"{1, 9, 2, 8, 7, 3, 6, 5, 4, 10, 1}",2.932857,0.000000,0.032491
"{1, 3, 8, 4, 7, 6, 5, 9, 2, 10, 1}",3.128819,"{1, 3, 8, 4, 7, 6, 5, 9, 2, 10, 1}",3.128819,0.000000,0.032560
"{1, 6, 10, 3, 7, 5, 8, 9, 4, 2, 1}",2.329332,"{1, 2, 4, 9, 8, 5, 7, 3, 10, 6, 1}",2.329332,0.000000,0.032001
"{1, 5, 4, 3, 8, 2, 7, 6, 9, 10, 1}",2.624797,"{1, 10, 9, 6, 7, 2, 8, 3, 4, 5, 1}",2.624797,0.000000,0.032529
"{1, 9, 5, 3, 8, 4, 7, 2, 6, 10, 1}",2.840746,"{1, 10, 6, 2, 7, 4, 8, 3, 5, 9, 1}",2.840746,0.000000,0.032061
"{1, 8, 10, 7, 3, 5, 6, 9, 2, 4, 1}",3.362169,"{1, 4, 2, 9, 6, 5, 3, 7, 10, 8, 1}",3.362169,0.000000,0.032022
"{1, 5, 6, 2, 8, 10, 3, 7, 9, 4, 1}",2.762291,"{1, 5, 6, 2, 8, 10, 3, 7, 9, 4, 1}",2.762291,0.000000,0.032077
"{1, 10, 2, 5, 3, 6, 4, 7, 8, 9, 1}",3.191538,"{1, 9, 10, 2, 5, 3, 6, 4, 7, 8, 1}",3.243697,0.016343,0.032158
"{1, 2, 4, 7, 9, 10, 8, 5, 6, 3, 1}",2.811923,"{1, 2, 4, 7, 9, 10, 8, 5, 6, 3, 1}",2.811923,0.000000,0.031895
"{1, 8, 10, 5, 4, 9, 7, 6, 3, 2, 1}",2.725288,"{1, 8, 10, 5, 4, 9, 7, 6, 3, 2, 1}",2.725288,0.000000,0.031868
"{1, 2, 6, 8, 3, 10, 4, 5, 9, 7, 1}",2.683873,"{1, 7, 9, 5, 4, 10, 3, 8, 6, 2, 1}",2.683873,0.000000,0.031701
"{1, 7, 8, 5, 9, 3, 2, 6, 4, 10, 1}",2.874767,"{1, 10, 4, 6, 2, 3, 9, 5, 8, 7, 1}",2.874767,0.000000,0.032348
