optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 8, 10, 7, 3, 5, 6, 9, 2, 4, 1}",3.362169,"{1, 8, 10, 7, 3, 5, 6, 9, 2, 4, 1}",3.362169,0.000000,0.000065
"{1, 5, 6, 2, 8, 10, 3, 7, 9, 4, 1}",2.762291,"{1, 5, 6, 2, 3, 10, 8, 7, 9, 4, 1}",3.013398,0.090905,0.000065
"{1, 10, 2, 5, 3, 6, 4, 7, 8, 9, 1}",3.191538,"{1, 10, 5, 3, 2, 9, 4, 6, 8, 7, 1}",3.843511,0.204282,0.000068
"{1, 2, 4, 7, 9, 10, 8, 5, 6, 3, 1}",2.811923,"{1, 3, 6, 5, 8, 10, 9, 7, 4, 2, 1}",2.811923,0.000000,0.000063
"{1, 8, 10, 5, 4, 9, 7, 6, 3, 2, 1}",2.725288,"{1, 8, 10, 5, 9, 4, 7, 6, 3, 2, 1}",2.810192,0.031154,0.000068
"{1, 2, 6, 8, 3, 10, 4, 5, 9, 7, 1}",2.683873,"{1, 7, 9, 8, 3, 10, 4, 5, 6, 2, 1}",2.944275,0.097025,0.000070
"{1, 7, 8, 5, 9, 3, 2, 6, 4, 10, 1}",2.874767,"{1, 7, 8, 5, 9, 10, 4, 3, 2, 6, 1}",3.624702,0.260868,0.000068
"{1, 7, 3, 6, 9, 10, 8, 5, 4, 2, 1}",2.575527,"{1, 6, 3, 7, 10, 9, 5, 8, 4, 2, 1}",2.819280,0.094642,0.000068
"{1, 5, 2, 7, 8, 9, 3, 10, 4, 6, 1}",2.602249,"{1, 6, 10, 4, 3, 9, 8, 7, 5, 2, 1}",2.696476,0.036210,0.000066
"{1, 8, 6, 9, 3, 2, 7, 10, 5, 4, 1}",2.677843,"{1, 8, 6, 9, 2, 3, 7, 10, 5, 4, 1}",2.744721,0.024975,0.000065
"{1, 5, 4, 8, 9, 3, 10, 6, 2, 7, 1}",3.271638,"{1, 7, 4, 6, 10, 9, 3, 8, 2, 5, 1}",3.531469,0.079419,0.000068
