optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 9, 8, 6, 4, 10, 3, 5, 7, 2, 1}",3.512320,"{1, 9, 2, 8, 6, 4, 10, 3, 5, 7, 1}",3.602027,0.025541,0.000018
"{1, 6, 2, 5, 8, 3, 7, 9, 4, 10, 1}",3.118837,"{1, 6, 2, 8, 5, 9, 7, 3, 10, 4, 1}",3.705750,0.188183,0.000018
"{1, 7, 5, 2, 4, 6, 9, 10, 8, 3, 1}",3.238901,"{1, 7, 5, 6, 4, 2, 10, 9, 8, 3, 1}",3.558303,0.098614,0.000018
"{1, 2, 3, 8, 9, 10, 7, 6, 5, 4, 1}",2.729532,"{1, 4, 5, 10, 7, 6, 8, 9, 3, 2, 1}",2.861824,0.048467,0.000018
"{1, 8, 4, 3, 7, 2, 9, 5, 10, 6, 1}",2.722896,"{1, 6, 5, 10, 9, 2, 8, 4, 3, 7, 1}",2.943905,0.081167,0.000018
"{1, 3, 9, 8, 4, 7, 2, 10, 6, 5, 1}",3.405094,"{1, 3, 5, 6, 7, 4, 9, 8, 2, 10, 1}",3.694205,0.084905,0.000019
"{1, 3, 10, 7, 4, 2, 9, 6, 5, 8, 1}",3.169898,"{1, 3, 10, 7, 9, 5, 6, 2, 4, 8, 1}",3.903684,0.231486,0.000018
"{1, 5, 7, 6, 8, 9, 10, 2, 4, 3, 1}",2.845818,"{1, 5, 7, 3, 4, 2, 10, 9, 6, 8, 1}",3.203084,0.125541,0.000018
"{1, 2, 7, 8, 4, 9, 5, 3, 6, 10, 1}",2.491513,"{1, 10, 6, 3, 5, 9, 4, 8, 7, 2, 1}",2.491513,0.000000,0.000019
"{1, 5, 9, 3, 4, 2, 8, 10, 7, 6, 1}",2.791222,"{1, 5, 9, 3, 4, 2, 8, 6, 7, 10, 1}",2.900933,0.039306,0.000019
"{1, 5, 6, 4, 7, 9, 10, 2, 8, 3, 1}",2.609161,"{1, 3, 8, 2, 10, 9, 7, 4, 6, 5, 1}",2.609161,0.000000,0.000018
"{1, 9, 2, 5, 3, 7, 10, 6, 8, 4, 1}",2.839123,"{1, 2, 9, 5, 7, 3, 10, 6, 8, 4, 1}",2.846302,0.002529,0.000019
"{1, 4, 3, 2, 8, 10, 5, 6, 9, 7, 1}",3.141250,"{1, 7, 9, 4, 3, 10, 8, 2, 5, 6, 1}",3.540715,0.127168,0.000028
"{1, 5, 4, 6, 8, 2, 3, 7, 9, 10, 1}",4.166567,"{1, 9, 2, 8, 6, 4, 5, 10, 7, 3, 1}",5.072383,0.217401,0.000018
"{1, 4, 9, 6, 3, 8, 2, 7, 10, 5, 1}",3.315081,"{1, 4, 9, 2, 8, 7, 10, 5, 3, 6, 1}",4.396437,0.326193,0.000020
"{1, 5, 8, 9, 3, 4, 7, 10, 2, 6, 1}",2.885000,"{1, 5, 8, 6, 7, 3, 4, 10, 2, 9, 1}",3.502129,0.213910,0.000018
"{1, 3, 6, 2, 4, 10, 8, 7, 9, 5, 1}",2.563931,"{1, 5, 9, 7, 6, 2, 8, 10, 4, 3, 1}",2.853270,0.112849,0.000018
"{1, 9, 2, 8, 7, 3, 6, 5, 4, 10, 1}",2.932857,"{1, 9, 2, 5, 4, 6, 3, 8, 7, 10, 1}",3.266046,0.113606,0.000018
"{1, 3, 8, 4, 7, 6, 5, 9, 2, 10, 1}",3.128819,"{1, 3, 8, 10, 2, 9, 5, 6, 7, 4, 1}",3.285776,0.050165,0.000018
"{1, 6, 10, 3, 7, 5, 8, 9, 4, 2, 1}",2.329332,"{1, 2, 4, 9, 8, 5, 3, 7, 10, 6, 1}",2.387230,0.024856,0.000018
"{1, 5, 4, 3, 8, 2, 7, 6, 9, 10, 1}",2.624797,"{1, 5, 4, 3, 8, 2, 7, 6, 10, 9, 1}",2.776066,0.057631,0.000018
"{1, 9, 5, 3, 8, 4, 7, 2, 6, 10, 1}",2.840746,"{1, 9, 5, 10, 6, 2, 7, 4, 8, 3, 1}",3.236011,0.139141,0.000018
"{1, 8, 10, 7, 3, 5, 6, 9, 2, 4, 1}",3.362169,"{1, 8, 10, 7, 3, 5, 6, 9, 2, 4, 1}",3.362169,0.000000,0.000018
"{1, 5, 6, 2, 8, 10, 3, 7, 9, 4, 1}",2.762291,"{1, 5, 6, 4, 9, 7, 3, 10, 8, 2, 1}",2.964804,0.073313,0.000018
"{1, 10, 2, 5, 3, 6, 4, 7, 8, 9, 1}",3.191538,"{1, 9, 10, 2, 5, 3, 6, 4, 7, 8, 1}",3.243697,0.016343,0.000018
"{1, 2, 4, 7, 9, 10, 8, 5, 6, 3, 1}",2.811923,"{1, 2, 4, 3, 6, 5, 8, 10, 9, 7, 1}",2.951662,0.049695,0.000018
"{1, 8, 10, 5, 4, 9, 7, 6, 3, 2, 1}",2.725288,"{1, 8, 10, 5, 9, 7, 4, 6, 3, 2, 1}",3.020701,0.108397,0.000018
"{1, 2, 6, 8, 3, 10, 4, 5, 9, 7, 1}",2.683873,"{1, 2, 6, 8, 7, 9, 3, 5, 4, 10, 1}",3.098480,0.154481,0.000018
"{1, 7, 8, 5, 9, 3, 2, 6, 4, 10, 1}",2.874767,"{1, 7, 4, 10, 6, 2, 3, 9, 8, 5, 1}",3.180185,0.106241,0.000018
"{1, 7, 3, 6, 9, 10, 8, 5, 4, 2, 1}",2.575527,"{1, 6, 3, 7, 2, 4, 5, 9, 10, 8, 1}",2.831198,0.099270,0.000018
